gene_name,index feature,mutual information
MT-CO1,7428,0.5596209511678407
S100A2,10116,0.5374169576128469
S100A10,10111,0.5351213860657439
ALDOA,354,0.5112786839548035
GAPDH,4784,0.45954143747642484
LDHA,6260,0.441545795888745
LY6E,6695,0.4308858286128339
PSMA7,9282,0.4248212058792641
PHLDA2,8656,0.42131429716336616
HMGA1,5404,0.4139477364804291
PCSK1N,8472,0.4130734278050089
MARCKSL1,6885,0.4063931047700702
TPI1,12075,0.39277452838455057
EGR1,3108,0.3738946117159046
FOSB,4626,0.37200174502288635
EMP3,3240,0.3604340236128325
TSTD1,12283,0.3387342915015238
SERF2,10341,0.31558833163715333
SRM,11105,0.31465227453128447
PKM,8763,0.3119118239013382
UBE2C,12430,0.31106581220467155
JPT1,5889,0.30935038584812274
CAV1,1458,0.306188193834816
BST2,1157,0.3038076873110207
EIF5,3173,0.2935021669454074
TUBA1B,12337,0.2889395155474523
TUBA1C,12339,0.2869850341201915
HPCAL1,5461,0.2815865289337702
EEF1D,3071,0.279871129955535
PRELID1,9145,0.27153392558801465
MDK,6978,0.2661116973284441
NME1,7923,0.2658269526683474
EEF1A1,3065,0.2649622711101347
UBE2E3,12438,0.2638661784663513
APOE,548,0.2615480942274382
CYC1,2481,0.261357564102867
YBX1,12930,0.2607199989150946
TUBB,12341,0.2580882030464287
S100A16,10115,0.25776875877999
TNC,11968,0.2552053605109536
RANBP1,9592,0.25458376971823665
PGK1,8608,0.252828529576138
SELENOH,10295,0.2522737358153343
FGFBP1,4532,0.25200774828073474
PFN1,8592,0.25172387988448336
BIRC5,1059,0.2486553773676215
PKIB,8761,0.24851391256256122
PHF19,8638,0.24610576259069503
CDKN3,1759,0.23920788796996548
LGALS3BP,6286,0.2385597567149665
HMGB2,5408,0.23616059875008
PTTG1,9406,0.2359950271798042
RRM2,10039,0.23501213209200383
MAL2,6775,0.23500663713358286
SOX4,10972,0.23036288772792984
NPC2,7986,0.22862969292442714
TXN,12375,0.22791978119206846
NEAT1,7775,0.22455004251673316
CHCHD2,1911,0.2242550038912071
TMSB4X,11955,0.22284870505465554
LYAR,6703,0.22215713198644743
CAV2,1459,0.22113013320917238
SLC25A5,10612,0.21710897169556792
H2AZ1,5212,0.21702828953566955
AURKAIP1,898,0.21639094425084682
H4C3,5228,0.2154265494165284
CENPN,1803,0.21480847413796597
GADD45GIP1,4755,0.21473926936872167
KIF5B,6059,0.2146688168148482
TK1,11718,0.2143671834929343
BCAM,991,0.21045880911236137
PSAP,9264,0.209463964952202
PDLIM7,8527,0.20748978275661178
PGP,8615,0.20703247586209456
CKS1B,2017,0.20703199264403252
SFN,10394,0.20682816614788266
RAB11FIP1,9475,0.2067964341781778
CDA,1660,0.20677667100635685
TAGLN2,11429,0.20643570248989276
MRPL37,7352,0.20626874110736163
SMC4,10800,0.20467671331543388
TRAPPC6A,12136,0.2044652055509597
MT-CO3,7430,0.2043946086920051
GRN,5119,0.2042181729191992
UBE2T,12456,0.20377516025176493
CENPX,1813,0.20295344854520944
PCLAF,8453,0.20253316007313965
DKK1,2763,0.20190154453947898
AURKB,899,0.20126341269936332
LGALS1,6284,0.2008344460446335
MAD2L1,6743,0.20079515626336517
FOS,4625,0.20019332359860112
DTYMK,2961,0.1990352442139238
CYB5A,2470,0.1981094614017005
HMGN3,5416,0.19790465491075943
SDC1,10238,0.19667748161155751
TNFRSF12A,11979,0.19593394876654616
PLAUR,8788,0.19545555780708168
MANCR,6799,0.19520568436701255
ZWINT,13652,0.1949009606515332
TCP1,11540,0.19402535006387744
DUSP1,2968,0.19399957443286517
MCL1,6944,0.19346847472250947
PSME1,9316,0.19340963099072236
CFL1,1892,0.19261737404184281
BTF3,1170,0.19177552091463906
DHRS2,2717,0.19136650887453022
SLC16A3,10551,0.19014228915695364
FCGRT,4492,0.1899334786393448
PARK7,8372,0.18982912069277563
POLE4,8928,0.1890220686354828
CAVIN3,1462,0.1887109275180204
ASPH,750,0.18865718134600223
TOMM40,12027,0.1881176935000558
NDUFS6,7768,0.18788880140572117
ITM2C,5847,0.18788688920702534
HOPX,5455,0.18608371302521912
LAMB3,6208,0.1850285782930806
MKI67,7198,0.1845398670892281
TUBB4B,12345,0.1834381253918023
COTL1,2236,0.18327651431501124
NUCKS1,8101,0.1827876888442073
GRINA,5111,0.18221046249288217
TYMS,12392,0.1815087065019099
ANXA2,487,0.18135538666223258
CAPN2,1401,0.18092889796925754
RHOD,9828,0.18073302572151215
DCBLD2,2561,0.18024119479593378
PUSL1,9420,0.18004163484601693
CUTA,2444,0.18003016438880937
SNRNP25,10893,0.1797578513159072
IFITM3,5605,0.17967933766543404
CCNB1,1581,0.17738738262857215
NOP53,7964,0.1770484190123173
NOP56,7965,0.1770063972199289
CDK1,1718,0.17698737702306427
TOP2A,12035,0.1769381958530603
UPP1,12559,0.1768417390198621
DNPH1,2875,0.17625908813190366
PLP2,8848,0.17603987294009155
COX8A,2259,0.17560537258715178
IFRD2,5612,0.1752366732063808
SNRPB,10902,0.1748587575444583
NINJ1,7883,0.17480146865881294
IER2,5582,0.17451145109578975
DDX39A,2620,0.1740480663255369
UFD1,12514,0.17399967571902547
TRIB1,12145,0.17313650790847038
TUBA4A,12340,0.17274405508677043
AHNAK,278,0.17256327865450324
NTMT1,8087,0.17254170873691918
ODC1,8191,0.17239704510277684
CKB,2014,0.1722582366013785
KPNA2,6142,0.172228339477954
PBK,8408,0.17191343795161745
CENPM,1802,0.17166810330052795
CENPA,1791,0.17093177962775064
PPM1G,9035,0.17063401091007427
CYCS,2482,0.17056246226799365
CENPU,1810,0.17012209258939398
TXNRD1,12387,0.17009408337994303
HSPD1,5528,0.16999880824797414
ZFAS1,13082,0.1687998659588571
DNAJC1,2830,0.1685056641618663
MTDH,7455,0.16849691225132402
PDCD5,8487,0.16826642724553373
LAMC2,6210,0.16799117964222496
ORC6,8229,0.16788960825151675
LAD1,6200,0.16681683574791548
GCLM,4834,0.16649290088604815
PSMD8,9314,0.16623481282335198
GTF3A,5166,0.1660193917343912
TMEM167A,11830,0.16594576669974487
PTGES3,9354,0.16567770790811487
ASAH1,720,0.16564575776445162
ITGB1BP1,5836,0.16523968335283562
UQCRC1,12570,0.16442448213787814
TUBB6,12346,0.16440989659312844
APP,557,0.16403736770875066
UBE2D2,12432,0.1635720542905533
PYCR1,9437,0.16356069860743
RABAC1,9533,0.16286060812260833
MAPK13,6857,0.16229556283567403
EPB41L4A-AS1,4093,0.16226678248123788
RHOB,9823,0.16194621582306046
NBEAL1,7672,0.16192013988173948
CDC20,1667,0.1611094892815613
CLTB,2082,0.16098975231321497
CALM1,1364,0.16094313553669629
NUSAP1,8157,0.16050008005906177
HSP90AA1,5511,0.16026772322698538
SNRPA1,10900,0.16025676029709124
CTNNAL1,2405,0.1600716243647751
CHMP4B,1948,0.16001280454265804
